table_name	table_rows
dblinks	1
enzymes	0
genus	1
organisms	1
organisms_to_peptides	23140
overlap_coefficient	0
peptides	23088
peptides_filtered	0
peptide_map	233295
peptide_tags	169035
proteins	1052
protein_modules	0
protein_pathways	0
protein_to_dblinks	0
samples	0
samples_peptide_to_organisms	0
samples_to_peptides	0
sample_sets	0
sequences	1046
sequence_to_peptides	23131
sequence_to_peptides_filtered	0
species	1
strong_peptides	0
strong_peptide_temp	0
taxons	0
taxon_lineages	0
taxon_lineages_ids	NULL
taxon_lineages_names	NULL
taxon_names	0
upload_db_links	1
upload_enzymes	1
upload_filtered_peptides	0
upload_module	1
upload_organism	1
upload_pathways	1
upload_peptides	23182
upload_proteins	1024
upload_samples	0
